Date,Product_Type,Supplier,Warehouse_Location,Inventory_Level,Units_Ordered,Units_Delivered,Delivery_Time,Units_Sold,Price_per_Unit,Revenue,Cost_per_Unit,Total_Cost,Inventory gap,Profit
1/1/24,Solar Panel,Supplier A,Berlin,30,120,115,4,95,300,28500,200,19000,20,9500
1/2/24,Battery,Supplier B,Hamburg,20,100,85,7,75,500,37500,350,26250,10,11250
1/3/24,Heat Pump,Supplier C,Munich,10,80,60,9,55,700,38500,500,27500,5,11000
1/4/24,EV Charger,Supplier A,Frankfurt,25,90,88,3,70,400,28000,250,17500,18,10500
1/5/24,Solar Panel,Supplier B,Cologne,18,130,110,6,95,300,28500,200,19000,15,9500
1/6/24,Battery,Supplier C,Berlin,12,110,85,8,70,500,35000,350,24500,15,10500
1/7/24,Heat Pump,Supplier A,Hamburg,15,95,92,4,80,700,56000,500,40000,12,16000
1/8/24,EV Charger,Supplier B,Munich,16,85,70,6,60,400,24000,250,15000,10,9000
1/9/24,Solar Panel,Supplier C,Frankfurt,10,140,105,9,95,300,28500,200,19000,10,9500
1/10/24,Battery,Supplier A,Cologne,20,105,100,4,85,500,42500,350,29750,15,12750
1/11/24,Heat Pump,Supplier B,Berlin,14,90,75,6,65,700,45500,500,32500,10,13000
1/12/24,EV Charger,Supplier C,Hamburg,12,88,65,8,55,400,22000,250,13750,10,8250
1/13/24,Solar Panel,Supplier A,Munich,28,135,130,3,110,300,33000,200,22000,20,11000
1/14/24,Battery,Supplier B,Frankfurt,16,115,95,6,80,500,40000,350,28000,15,12000
1/15/24,Heat Pump,Supplier C,Cologne,9,85,60,9,50,700,35000,500,25000,10,10000
1/16/24,EV Charger,Supplier A,Berlin,22,92,90,3,75,400,30000,250,18750,15,11250
1/17/24,Solar Panel,Supplier B,Hamburg,18,128,110,6,95,300,28500,200,19000,15,9500
1/18/24,Battery,Supplier C,Munich,10,108,80,8,70,500,35000,350,24500,10,10500
1/19/24,Heat Pump,Supplier A,Frankfurt,14,92,90,4,75,700,52500,500,37500,15,15000
1/20/24,EV Charger,Supplier B,Cologne,17,87,70,6,60,400,24000,250,15000,10,9000
1/21/24,Solar Panel,Supplier C,Berlin,12,130,95,9,85,300,25500,200,17000,10,8500
1/22/24,Battery,Supplier A,Hamburg,24,110,108,4,90,500,45000,350,31500,18,13500
1/23/24,Heat Pump,Supplier B,Munich,13,95,80,6,70,700,49000,500,35000,10,14000
1/24/24,EV Charger,Supplier C,Frankfurt,11,85,60,9,55,400,22000,250,13750,5,8250
1/25/24,Solar Panel,Supplier A,Cologne,30,140,135,3,115,300,34500,200,23000,20,11500
1/26/24,Battery,Supplier B,Berlin,18,120,100,7,85,500,42500,350,29750,15,12750
1/27/24,Heat Pump,Supplier C,Hamburg,10,90,65,9,55,700,38500,500,27500,10,11000
1/28/24,EV Charger,Supplier A,Munich,20,100,97,3,80,400,32000,250,20000,17,12000
1/29/24,Solar Panel,Supplier B,Frankfurt,17,135,115,6,100,300,30000,200,20000,15,10000
1/30/24,Battery,Supplier C,Cologne,12,115,85,8,75,500,37500,350,26250,10,11250
1/31/24,Heat Pump,Supplier A,Berlin,16,100,98,4,80,700,56000,500,40000,18,16000
2/1/24,EV Charger,Supplier B,Hamburg,15,90,75,6,65,400,26000,250,16250,10,9750
2/2/24,Solar Panel,Supplier C,Munich,11,130,95,9,85,300,25500,200,17000,10,8500
2/3/24,Battery,Supplier A,Frankfurt,22,120,118,4,95,500,47500,350,33250,23,14250
2/4/24,Heat Pump,Supplier B,Cologne,14,95,80,6,70,700,49000,500,35000,10,14000
2/5/24,EV Charger,Supplier C,Berlin,10,85,60,9,55,400,22000,250,13750,5,8250
2/6/24,Solar Panel,Supplier A,Hamburg,28,140,135,3,115,300,34500,200,23000,20,11500
2/7/24,Battery,Supplier B,Munich,16,110,90,7,80,500,40000,350,28000,10,12000
